"frame_path","label","video_dir","frame_idx","img_key"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000016.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","16","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000016.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000017.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","17","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000017.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000018.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","18","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000018.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000019.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","19","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000019.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000020.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","20","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000020.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000021.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","21","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000021.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000022.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","22","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000022.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000023.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","23","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000023.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000024.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","24","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000024.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000025.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","25","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000025.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000026.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","26","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000026.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000027.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","27","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000027.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000028.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","28","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000028.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000029.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","29","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000029.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000030.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","30","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000030.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000031.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","31","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000031.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000032.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","32","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000032.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000033.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","33","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000033.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000034.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","34","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000034.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000035.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","35","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000035.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000036.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","36","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000036.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000037.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","37","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000037.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000038.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","38","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000038.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000039.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","39","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000039.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000040.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","40","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000040.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000041.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","41","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000041.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000042.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","42","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000042.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000043.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","43","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000043.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000044.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","44","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000044.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000045.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","45","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000045.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000046.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","46","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000046.jpg"
